date,country,traffic_source,device_type,sessions,page_views,bounce_rate,avg_session_duration
2025-02-05 17:44:21.717913,US,Google Ads,Desktop,144,362,0.5993292420985183,97.44447370618477
2025-02-05 17:44:21.717913,US,Google Ads,Mobile,132,364,0.6005575058716044,229.93741867105092
2025-02-05 17:44:21.717913,US,Google Ads,Tablet,166,254,0.3917022549267169,133.01813831028906
2025-02-05 17:44:21.717913,US,Facebook Ads,Desktop,101,174,0.6059264473611897,93.47852655649004
2025-02-05 17:44:21.717913,US,Facebook Ads,Mobile,94,189,0.6925879806965067,107.92170771800633
2025-02-05 17:44:21.717913,US,Facebook Ads,Tablet,100,128,0.6037724259507191,100.92578968494996
2025-02-05 17:44:21.717913,US,Organic Search,Desktop,112,274,0.5200762468698006,89.28917636274691
2025-02-05 17:44:21.717913,US,Organic Search,Mobile,120,340,0.42938999080000845,219.00534824495568
2025-02-05 17:44:21.717913,US,Organic Search,Tablet,112,246,0.3924272277627635,292.70031066349407
2025-02-05 17:44:21.717913,US,Email Marketing,Desktop,115,328,0.34424625102595974,107.03588698059485
2025-02-05 17:44:21.717913,US,Email Marketing,Mobile,76,144,0.43567451588694794,258.89700219646306
2025-02-05 17:44:21.717913,US,Email Marketing,Tablet,96,208,0.3704621124873813,252.5272753809695
2025-02-05 17:44:21.717913,US,Direct,Desktop,108,130,0.7077307142274171,229.64576252342812
2025-02-05 17:44:21.717913,US,Direct,Mobile,107,142,0.4792328642721363,87.80857428603113
2025-02-05 17:44:21.717913,US,Direct,Tablet,113,202,0.3317791751430118,134.63575721175891
2025-02-05 17:44:21.717913,US,Affiliate,Desktop,95,223,0.7436063712881633,173.33158203886782
2025-02-05 17:44:21.717913,US,Affiliate,Mobile,86,220,0.5806385987847481,245.03212318909465
2025-02-05 17:44:21.717913,US,Affiliate,Tablet,100,196,0.3127095633720476,85.89394247839307
2025-02-05 17:44:21.717913,UK,Google Ads,Desktop,141,399,0.42464611457443746,158.49190152855113
2025-02-05 17:44:21.717913,UK,Google Ads,Mobile,162,216,0.444875726456884,98.69310894096105
2025-02-05 17:44:21.717913,UK,Google Ads,Tablet,177,414,0.7357302950938589,252.88129845578746
2025-02-05 17:44:21.717913,UK,Facebook Ads,Desktop,90,195,0.7037200775820313,275.0619119816384
2025-02-05 17:44:21.717913,UK,Facebook Ads,Mobile,94,151,0.5135538943131281,256.32354382139835
2025-02-05 17:44:21.717913,UK,Facebook Ads,Tablet,112,237,0.5087055015743895,113.30587451297527
2025-02-05 17:44:21.717913,UK,Organic Search,Desktop,103,298,0.4616014660103776,184.50974921840788
2025-02-05 17:44:21.717913,UK,Organic Search,Mobile,127,375,0.7812236474710557,120.42775099808739
2025-02-05 17:44:21.717913,UK,Organic Search,Tablet,120,205,0.3184434736772664,206.29544015517524
2025-02-05 17:44:21.717913,UK,Email Marketing,Desktop,100,170,0.7541329429833268,117.49485376007338
